( 187478,759491 ): -0.916822 ( 183858,759491 ): -0.113584 ( 349157,759491 ): 0.704227 ( 50251,759491 ): 0.581758 ( 61938,759491 ): 0.793265 
( 754879,759491 ): 0.941034 ( 685647,759491 ): 0.688394 ( 183858,759491 ): -0.113584 ( 852855,759491 ): 0.432048 ( 70800,759491 ): 0.516316 
( 420133,759491 ): 0.388184 ( 812046,759491 ): -0.290721 ( 530745,759491 ): 0.847647 ( 771438,759491 ): 0.725648 ( 796734,759491 ): -0.0318993 
( 29067,759491 ): 0.531593 ( 680522,759491 ): -0.588683 ( 379125,759491 ): -0.725599 ( 987491,759491 ): -0.477879 ( 46527,759491 ): -0.962195 
( 501407,759491 ): 0.9402 ( 393345,759491 ): 0.839972 ( 379125,759491 ): -0.725599 ( 308932,759491 ): 0.743423 ( 771438,759491 ): 0.725648 
( 925181,759491 ): 0.739605 ( 307135,759491 ): 0.867941 ( 184043,759491 ): 0.818172 ( 240865,759491 ): 0.220672 ( 180228,759491 ): -0.467855 
( 20050,759491 ): 0.542537 ( 543055,759491 ): -0.481523 ( 740833,759491 ): -0.252655 ( 446509,759491 ): 0.877978 ( 287259,759491 ): 0.0913836 
( 270491,759491 ): -0.655568 ( 22928,759491 ): 0.490432 ( 96613,759491 ): -0.789276 ( 84209,759491 ): 0.84337 ( 181376,759491 ): -0.397274 
( 393345,759491 ): 0.839972 ( 232564,759491 ): -0.430932 ( 134729,759491 ): 0.833184 ( 491220,759491 ): 0.712049 ( 569914,759491 ): -0.396517 
( 937003,759491 ): 0.344903 ( 134729,759491 ): 0.833184 ( 894465,759491 ): 0.474103 ( 489303,759491 ): 0.659142 ( 680476,759491 ): 0.874785 
( 84209,759491 ): 0.84337 ( 418955,759491 ): -0.00155466 ( 246611,759491 ): 0.93684 ( 200968,759491 ): 0.571799 ( 579839,759491 ): 0.954557 
( 894465,759491 ): 0.474103 ( 490554,759491 ): 0.82787 ( 852997,759491 ): -0.460862 ( 129761,66915 ): 0.951834 ( 572737,66915 ): -0.674294 
( 16438,66915 ): 0.370155 ( 268871,66915 ): 0.455033 ( 246611,66915 ): -0.544128 ( 61938,66915 ): -0.609482 ( 765722,66915 ): -0.152751 
( 16438,66915 ): 0.370155 ( 751910,66915 ): -0.484129 ( 99246,66915 ): -0.562363 ( 202545,66915 ): -0.548655 ( 371258,66915 ): -0.532344 
( 467853,66915 ): -0.513262 ( 139026,66915 ): -0.418337 ( 771438,66915 ): -0.361029 ( 70027,66915 ): 0.295938 ( 895136,66915 ): -0.981039 
( 127360,66915 ): 0.77511 ( 208303,66915 ): 0.948774 ( 891063,66915 ): -0.448766 ( 771438,66915 ): -0.361029 ( 79960,66915 ): -0.273711 
( 315403,66915 ): -0.448722 ( 64303,66915 ): -0.0804255 ( 69534,66915 ): -0.604958 ( 237205,66915 ): -0.431097 ( 604852,66915 ): -0.610337 
( 78741,66915 ): -0.860694 ( 798992,66915 ): -0.0134605 ( 203008,66915 ): -0.675998 ( 180263,66915 ): -0.706621 ( 259800,66915 ): -0.782923 
( 330575,66915 ): 0.666941 ( 144847,66915 ): 0.164802 ( 672011,66915 ): -0.559198 ( 680476,66915 ): -0.493609 ( 771438,66915 ): -0.361029 
( 66915,66915 ): 1 ( 46120,66915 ): -0.686463 ( 642542,66915 ): 0.349373 ( 334193,66915 ): -0.918757 ( 418740,66915 ): -0.422809 
( 237205,66915 ): -0.431097 ( 193231,66915 ): -0.691401 ( 574772,66915 ): -0.814869 ( 139026,66915 ): -0.418337 ( 773392,66915 ): -0.365169 
( 531986,71209 ): -0.727216 ( 495338,71209 ): -0.746123 ( 808944,71209 ): -0.803481 ( 346336,71209 ): 0.377887 ( 642542,71209 ): 0.609753 
( 824022,71209 ): 0.588444 ( 76057,71209 ): 0.431373 ( 98465,71209 ): -0.666623 ( 686897,71209 ): 0.998272 ( 241724,71209 ): -0.785824 
( 84209,71209 ): -0.839298 ( 642542,71209 ): 0.609753 ( 130689,71209 ): 0.699404 ( 790820,71209 ): -0.332207 ( 130932,71209 ): 0.0610432 
( 75747,71209 ): -0.916417 ( 925181,71209 ): -0.714362 ( 354105,71209 ): -0.603585 ( 260212,71209 ): -0.858183 ( 89021,71209 ): -0.37837 
( 299471,71209 ): -0.742086 ( 36537,71209 ): -0.735194 ( 105422,71209 ): -0.822711 ( 112789,71209 ): -0.952703 ( 103324,71209 ): -0.718329 
( 493122,71209 ): 0.720972 ( 815537,71209 ): 0.241604 ( 831215,71209 ): -0.8201 ( 131581,71209 ): 0.958789 ( 182900,71209 ): 0.498719 
( 604852,71209 ): -0.829874 ( 212131,71209 ): -0.575613 ( 899530,71209 ): -0.896283 ( 130932,71209 ): 0.0610432 ( 177060,71209 ): 0.144266 
